"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "PostCSS", "HTML", "Python", "Markdown", "Docker", "TOML", "XML", "JavaScript", "comment", "blank", "total"
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\quote.tsx", "TypeScript JSX", 0, 0, 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 39, 22, 291
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\reasoning.tsx", "TypeScript JSX", 0, 0, 0, 325, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 365
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\select.tsx", "TypeScript JSX", 0, 0, 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 244
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\shiki-highlighter.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\thread-list.tsx", "TypeScript JSX", 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 187
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\tool-fallback.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\tool-group.tsx", "TypeScript JSX", 0, 0, 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 233
"z:\My Code\Second Brain UI\base-assistant-ui\components\assistant-ui\tooltip-icon-button.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"z:\My Code\Second Brain UI\base-assistant-ui\components\docs\assistant\docs-model-options.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"z:\My Code\Second Brain UI\base-assistant-ui\components\examples\base.tsx", "TypeScript JSX", 0, 0, 0, 816, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47, 868
"z:\My Code\Second Brain UI\base-assistant-ui\components\runtime\demo-runtime-provider.tsx", "TypeScript JSX", 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 181
"z:\My Code\Second Brain UI\base-assistant-ui\components\shared\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 114
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 110
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\command.tsx", "TypeScript JSX", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 185
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 159
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 90
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"z:\My Code\Second Brain UI\base-assistant-ui\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"z:\My Code\Second Brain UI\base-assistant-ui\constants\model.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 78
"z:\My Code\Second Brain UI\base-assistant-ui\lib\base\config-provider.tsx", "TypeScript JSX", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"z:\My Code\Second Brain UI\base-assistant-ui\lib\base\defaults.ts", "TypeScript", 0, 415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 420
"z:\My Code\Second Brain UI\base-assistant-ui\lib\base\preview-schema.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"z:\My Code\Second Brain UI\base-assistant-ui\lib\browser-thread-list-adapter.tsx", "TypeScript JSX", 0, 0, 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 345
"z:\My Code\Second Brain UI\base-assistant-ui\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"z:\My Code\Second Brain UI\base-assistant-ui\next-env.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"z:\My Code\Second Brain UI\base-assistant-ui\next.config.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"z:\My Code\Second Brain UI\base-assistant-ui\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"z:\My Code\Second Brain UI\base-assistant-ui\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"z:\My Code\Second Brain UI\base-assistant-ui\public\favicon\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"z:\My Code\Second Brain UI\base-assistant-ui\public\icons\google.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"z:\My Code\Second Brain UI\base-assistant-ui\public\icons\groq.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"z:\My Code\Second Brain UI\base-assistant-ui\public\icons\meta.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"z:\My Code\Second Brain UI\base-assistant-ui\public\icons\openai.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"z:\My Code\Second Brain UI\base-assistant-ui\public\icons\xai.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"z:\My Code\Second Brain UI\base-assistant-ui\tsconfig.json", "JSON with Comments", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"z:\My Code\Second Brain UI\docs\AGENT_FILE_ACTIVITY.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 81, 364
"z:\My Code\Second Brain UI\docs\HTTP_PROTOCOL.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 102, 442
"z:\My Code\Second Brain UI\docs\NOTIFICATIONS.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 76, 328
"z:\My Code\Second Brain UI\docs\SDK.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1378, 0, 0, 0, 0, 0, 339, 1717
"z:\My Code\Second Brain UI\docs\frontend_http.py", "Python", 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 273, 57, 603
"z:\My Code\Second Brain UI\docs\frontend_template.py", "Python", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 184, 19, 268
"z:\My Code\Second Brain UI\docs\http_reference_client.html", "HTML", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 24, 31, 279
"z:\My Code\Second Brain UI\index.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 25, 1, 56
"z:\My Code\Second Brain UI\package-lock.json", "JSON", 6350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6351
"z:\My Code\Second Brain UI\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"z:\My Code\Second Brain UI\src\App.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 90
"z:\My Code\Second Brain UI\src\components\assistant-ui\attachment.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 280
"z:\My Code\Second Brain UI\src\components\assistant-ui\dot-matrix.tsx", "TypeScript JSX", 0, 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 15, 14, 268
"z:\My Code\Second Brain UI\src\components\assistant-ui\markdown-text.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"z:\My Code\Second Brain UI\src\components\assistant-ui\tool-fallback.tsx", "TypeScript JSX", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 111
"z:\My Code\Second Brain UI\src\components\assistant-ui\tool-group.tsx", "TypeScript JSX", 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 231
"z:\My Code\Second Brain UI\src\components\assistant-ui\tooltip-icon-button.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 69
"z:\My Code\Second Brain UI\src\components\command-panel.tsx", "TypeScript JSX", 0, 0, 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 312
"z:\My Code\Second Brain UI\src\components\command-renderers.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 95
"z:\My Code\Second Brain UI\src\components\conversation-sidebar.tsx", "TypeScript JSX", 0, 0, 0, 496, 0, 0, 0, 0, 0, 0, 0, 0, 71, 37, 604
"z:\My Code\Second Brain UI\src\components\error-boundary.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 55
"z:\My Code\Second Brain UI\src\components\file-kind-icon.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"z:\My Code\Second Brain UI\src\components\file-view.tsx", "TypeScript JSX", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 78, 41, 410
"z:\My Code\Second Brain UI\src\components\file-viewer-dialog.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 137
"z:\My Code\Second Brain UI\src\components\files-drawer.tsx", "TypeScript JSX", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 83, 27, 380
"z:\My Code\Second Brain UI\src\components\host-file.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 67
"z:\My Code\Second Brain UI\src\components\input-request-dialog.dom.test.tsx", "TypeScript JSX", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 42, 45, 221
"z:\My Code\Second Brain UI\src\components\input-request-dialog.tsx", "TypeScript JSX", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 94, 15, 225
"z:\My Code\Second Brain UI\src\components\lazy-file-view.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"z:\My Code\Second Brain UI\src\components\lazy-file-viewer.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"z:\My Code\Second Brain UI\src\components\lazy-settings.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"z:\My Code\Second Brain UI\src\components\notification-banners.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 54, 17, 143
"z:\My Code\Second Brain UI\src\components\notification-level.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 61
"z:\My Code\Second Brain UI\src\components\notification-links.dom.test.tsx", "TypeScript JSX", 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 35, 36, 245
"z:\My Code\Second Brain UI\src\components\notification-panel.tsx", "TypeScript JSX", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 112, 20, 322
"z:\My Code\Second Brain UI\src\components\security-mode-picker.tsx", "TypeScript JSX", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 111
"z:\My Code\Second Brain UI\src\components\session-bar.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 59, 15, 199
"z:\My Code\Second Brain UI\src\components\settings-dialog.tsx", "TypeScript JSX", 0, 0, 0, 327, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 361
"z:\My Code\Second Brain UI\src\components\settings-structure.ts", "TypeScript", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 17, 258
"z:\My Code\Second Brain UI\src\components\theme-picker.dom.test.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38
"z:\My Code\Second Brain UI\src\components\theme-picker.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 74
"z:\My Code\Second Brain UI\src\components\thread.tsx", "TypeScript JSX", 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 146, 25, 502
"z:\My Code\Second Brain UI\src\components\turn-files.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 44, 8, 118
"z:\My Code\Second Brain UI\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 108
"z:\My Code\Second Brain UI\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"z:\My Code\Second Brain UI\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"z:\My Code\Second Brain UI\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 165
"z:\My Code\Second Brain UI\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 73
"z:\My Code\Second Brain UI\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 88
"z:\My Code\Second Brain UI\src\components\ui\sheet.dom.test.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 38
"z:\My Code\Second Brain UI\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"z:\My Code\Second Brain UI\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 16, 9, 94
"z:\My Code\Second Brain UI\src\components\voice-note.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 37, 16, 154
"z:\My Code\Second Brain UI\src\index.css", "PostCSS", 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 0, 51, 53, 485
"z:\My Code\Second Brain UI\src\lib\audio.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 16, 166
"z:\My Code\Second Brain UI\src\lib\client.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 14, 208
"z:\My Code\Second Brain UI\src\lib\commands.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 5, 65
"z:\My Code\Second Brain UI\src\lib\conversation-categories.test.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 24, 140
"z:\My Code\Second Brain UI\src\lib\conversation-categories.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 18, 172
"z:\My Code\Second Brain UI\src\lib\conversations.test.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 67
"z:\My Code\Second Brain UI\src\lib\conversations.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 8, 105
"z:\My Code\Second Brain UI\src\lib\csv.test.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 87
"z:\My Code\Second Brain UI\src\lib\csv.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 11, 108
"z:\My Code\Second Brain UI\src\lib\events.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 22, 314
"z:\My Code\Second Brain UI\src\lib\files.test.ts", "TypeScript", 0, 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 36, 279
"z:\My Code\Second Brain UI\src\lib\files.ts", "TypeScript", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 39, 399
"z:\My Code\Second Brain UI\src\lib\history.ts", "TypeScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 20, 257
"z:\My Code\Second Brain UI\src\lib\input-requests.test.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 89
"z:\My Code\Second Brain UI\src\lib\input-requests.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 7, 81
"z:\My Code\Second Brain UI\src\lib\ledger.test.ts", "TypeScript", 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 19, 247
"z:\My Code\Second Brain UI\src\lib\ledger.ts", "TypeScript", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 19, 237
"z:\My Code\Second Brain UI\src\lib\media.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 5, 41
"z:\My Code\Second Brain UI\src\lib\notifications.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 10, 152
"z:\My Code\Second Brain UI\src\lib\theme.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 13, 88
"z:\My Code\Second Brain UI\src\lib\time.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 69
"z:\My Code\Second Brain UI\src\lib\upload.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 15, 147
"z:\My Code\Second Brain UI\src\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"z:\My Code\Second Brain UI\src\main.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 18
"z:\My Code\Second Brain UI\src\runtime\convert.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 11, 133
"z:\My Code\Second Brain UI\src\runtime\file-activity-provider.tsx", "TypeScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 78, 35, 274
"z:\My Code\Second Brain UI\src\runtime\file-activity.test.ts", "TypeScript", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 274
"z:\My Code\Second Brain UI\src\runtime\file-activity.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 23, 301
"z:\My Code\Second Brain UI\src\runtime\input-requests.test.ts", "TypeScript", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 41, 257
"z:\My Code\Second Brain UI\src\runtime\input-requests.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 17, 169
"z:\My Code\Second Brain UI\src\runtime\notifications.test.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 42, 252
"z:\My Code\Second Brain UI\src\runtime\notifications.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 17, 174
"z:\My Code\Second Brain UI\src\runtime\provider.tsx", "TypeScript JSX", 0, 0, 0, 768, 0, 0, 0, 0, 0, 0, 0, 0, 491, 88, 1347
"z:\My Code\Second Brain UI\src\runtime\store.ts", "TypeScript", 0, 316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 40, 572
"z:\My Code\Second Brain UI\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 34
"z:\My Code\Second Brain UI\tsconfig.json", "JSON with Comments", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 14
"z:\My Code\Second Brain UI\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"z:\My Code\Second Brain UI\vite.config.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 7, 90
"Total", "-", 6495, 4043, 51, 10887, 543, 254, 338, 2266, 17, 12, 11, 2, 4511, 2639, 32069
